year,category,overallMotivation,id,motivation,share,Full Name
2021,medicine,,998,"""for their discoveries of receptors for temperature and touch""",2,Ardem Patapoutian
2020,chemistry,,991,"""for the development of a method for genome editing""",2,Emmanuelle Charpentier
2020,chemistry,,992,"""for the development of a method for genome editing""",2,Jennifer A. Doudna
2020,economics,,995,"""for improvements to auction theory and inventions of new auction formats""",2,Paul Milgrom
2020,economics,,996,"""for improvements to auction theory and inventions of new auction formats""",2,Robert Wilson
2020,literature,,993,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""",1,Louise Glück
2020,peace,,994,"""for its efforts to combat hunger for its contribution to bettering conditions for peace in conflict-affected areas and for acting as a driving force in efforts to prevent the use of hunger as a weapon of war and conflict""",1,World Food Programme 
2020,physics,,988,"""for the discovery that black hole formation is a robust prediction of the general theory of relativity""",2,Roger Penrose
2020,physics,,989,"""for the discovery of a supermassive compact object at the centre of our galaxy""",4,Reinhard Genzel
2020,physics,,990,"""for the discovery of a supermassive compact object at the centre of our galaxy""",4,Andrea Ghez
2020,medicine,,985,"""for the discovery of Hepatitis C virus""",3,Harvey Alter
2020,medicine,,986,"""for the discovery of Hepatitis C virus""",3,Michael Houghton
2020,medicine,,987,"""for the discovery of Hepatitis C virus""",3,Charles Rice
2019,chemistry,,976,"""for the development of lithium-ion batteries""",3,John Goodenough
2019,chemistry,,977,"""for the development of lithium-ion batteries""",3,M. Stanley Whittingham
2019,chemistry,,978,"""for the development of lithium-ion batteries""",3,Akira Yoshino
2019,economics,,982,"""for their experimental approach to alleviating global poverty""",3,Abhijit Banerjee
2019,economics,,983,"""for their experimental approach to alleviating global poverty""",3,Esther Duflo
2019,economics,,984,"""for their experimental approach to alleviating global poverty""",3,Michael Kremer
2019,literature,,980,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",1,Peter Handke
2019,peace,,981,"""for his efforts to achieve peace and international cooperation and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea""",1,Abiy Ahmed Ali
2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",973,"""for theoretical discoveries in physical cosmology""",2,James Peebles
2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",974,"""for the discovery of an exoplanet orbiting a solar-type star""",4,Michel Mayor
2019,physics,"""for contributions to our understanding of the evolution of the universe and Earth’s place in the cosmos""",975,"""for the discovery of an exoplanet orbiting a solar-type star""",4,Didier Queloz
2019,medicine,,970,"""for their discoveries of how cells sense and adapt to oxygen availability""",3,William Kaelin
2019,medicine,,971,"""for their discoveries of how cells sense and adapt to oxygen availability""",3,Peter Ratcliffe
2019,medicine,,972,"""for their discoveries of how cells sense and adapt to oxygen availability""",3,Gregg Semenza
2018,chemistry,,963,"""for the directed evolution of enzymes""",2,Frances H. Arnold
2018,chemistry,,964,"""for the phage display of peptides and antibodies""",4,George P. Smith
2018,chemistry,,965,"""for the phage display of peptides and antibodies""",4,Sir Gregory P. Winter
2018,economics,,968,"""for integrating climate change into long-run macroeconomic analysis""",2,William D. Nordhaus
2018,economics,,969,"""for integrating technological innovations into long-run macroeconomic analysis""",2,Paul M. Romer
2018,literature,,979,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""",1,Olga Tokarczuk
2018,peace,,966,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2,Denis Mukwege
2018,peace,,967,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",2,Nadia Murad
2018,physics,"""for groundbreaking inventions in the field of laser physics""",960,"""for the optical tweezers and their application to biological systems""",2,Arthur Ashkin
2018,physics,"""for groundbreaking inventions in the field of laser physics""",961,"""for their method of generating high-intensity ultra-short optical pulses""",4,Gérard Mourou
2018,physics,"""for groundbreaking inventions in the field of laser physics""",962,"""for their method of generating high-intensity ultra-short optical pulses""",4,Donna Strickland
2018,medicine,,958,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2,James P. Allison
2018,medicine,,959,"""for their discovery of cancer therapy by inhibition of negative immune regulation""",2,Tasuku Honjo
2017,chemistry,,944,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3,Jacques Dubochet
2017,chemistry,,945,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3,Joachim Frank
2017,chemistry,,946,"""for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution""",3,Richard Henderson
2017,economics,,949,"""for his contributions to behavioural economics""",1,Richard H. Thaler
2017,literature,,947,"""who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world""",1,Kazuo Ishiguro
2017,peace,,948,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",1,International Campaign to Abolish Nuclear Weapons 
2017,physics,,941,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",2,Rainer Weiss
2017,physics,,942,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",4,Barry C. Barish
2017,physics,,943,"""for decisive contributions to the LIGO detector and the observation of gravitational waves""",4,Kip S. Thorne
2017,medicine,,938,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3,Jeffrey C. Hall
2017,medicine,,939,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3,Michael Rosbash
2017,medicine,,940,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",3,Michael W. Young
2016,chemistry,,931,"""for the design and synthesis of molecular machines""",3,Jean-Pierre Sauvage
2016,chemistry,,932,"""for the design and synthesis of molecular machines""",3,Sir J. Fraser Stoddart
2016,chemistry,,933,"""for the design and synthesis of molecular machines""",3,Bernard L. Feringa
2016,economics,,935,"""for their contributions to contract theory""",2,Oliver Hart
2016,economics,,936,"""for their contributions to contract theory""",2,Bengt Holmström
2016,literature,,937,"""for having created new poetic expressions within the great American song tradition""",1,Bob Dylan
2016,peace,,934,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",1,Juan Manuel Santos
2016,physics,,928,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2,David J. Thouless
2016,physics,,929,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",4,F. Duncan M. Haldane
2016,physics,,930,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",4,J. Michael Kosterlitz
2016,medicine,,927,"""for his discoveries of mechanisms for autophagy""",1,Yoshinori Ohsumi
2015,chemistry,,921,"""for mechanistic studies of DNA repair""",3,Tomas Lindahl
2015,chemistry,,922,"""for mechanistic studies of DNA repair""",3,Paul Modrich
2015,chemistry,,923,"""for mechanistic studies of DNA repair""",3,Aziz Sancar
2015,economics,,926,"""for his analysis of consumption poverty and welfare""",1,Angus Deaton
2015,literature,,924,"""for her polyphonic writings a monument to suffering and courage in our time""",1,Svetlana Alexievich
2015,peace,,925,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",1,National Dialogue Quartet 
2015,physics,,919,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",2,Takaaki Kajita
2015,physics,,920,"""for the discovery of neutrino oscillations which shows that neutrinos have mass""",2,Arthur B. McDonald
2015,medicine,,916,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4,William C. Campbell
2015,medicine,,917,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4,Satoshi Ōmura
2015,medicine,,918,"""for her discoveries concerning a novel therapy against Malaria""",2,Youyou Tu
2014,chemistry,,909,"""for the development of super-resolved fluorescence microscopy""",3,Eric Betzig
2014,chemistry,,910,"""for the development of super-resolved fluorescence microscopy""",3,Stefan W. Hell
2014,chemistry,,911,"""for the development of super-resolved fluorescence microscopy""",3,William E. Moerner
2014,economics,,915,"""for his analysis of market power and regulation""",1,Jean Tirole
2014,literature,,912,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",1,Patrick Modiano
2014,peace,,913,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2,Kailash Satyarthi
2014,peace,,914,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2,Malala Yousafzai
2014,physics,,906,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,Isamu Akasaki
2014,physics,,907,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,Hiroshi Amano
2014,physics,,908,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",3,Shuji Nakamura
2014,medicine,,903,"""for their discoveries of cells that constitute a positioning system in the brain""",2,John O'Keefe
2014,medicine,,904,"""for their discoveries of cells that constitute a positioning system in the brain""",4,May-Britt Moser
2014,medicine,,905,"""for their discoveries of cells that constitute a positioning system in the brain""",4,Edvard I. Moser
2013,chemistry,,889,"""for the development of multiscale models for complex chemical systems""",3,Martin Karplus
2013,chemistry,,890,"""for the development of multiscale models for complex chemical systems""",3,Michael Levitt
2013,chemistry,,891,"""for the development of multiscale models for complex chemical systems""",3,Arieh Warshel
2013,economics,,894,"""for their empirical analysis of asset prices""",3,Eugene F. Fama
2013,economics,,895,"""for their empirical analysis of asset prices""",3,Lars Peter Hansen
2013,economics,,896,"""for their empirical analysis of asset prices""",3,Robert J. Shiller
2013,literature,,892,"""master of the contemporary short story""",1,Alice Munro
2013,peace,,893,"""for its extensive efforts to eliminate chemical weapons""",1,Organisation for the Prohibition of Chemical Weapons 
2013,physics,,887,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2,François Englert
2013,physics,,888,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles and which recently was confirmed through the discovery of the predicted fundamental particle by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2,Peter Higgs
2013,medicine,,884,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",3,James E. Rothman
2013,medicine,,885,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",3,Randy W. Schekman
2013,medicine,,886,"""for their discoveries of machinery regulating vesicle traffic a major transport system in our cells""",3,Thomas C. Südhof
2012,chemistry,,878,"""for studies of G-protein-coupled receptors""",2,Robert J. Lefkowitz
2012,chemistry,,879,"""for studies of G-protein-coupled receptors""",2,Brian Kobilka
2012,economics,,882,"""for the theory of stable allocations and the practice of market design""",2,Alvin E. Roth
2012,economics,,883,"""for the theory of stable allocations and the practice of market design""",2,Lloyd S. Shapley
2012,literature,,880,"""who with hallucinatory realism merges folk tales history and the contemporary""",1,Mo Yan
2012,peace,,881,"""for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe""",1,European Union 
2012,physics,,876,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2,Serge Haroche
2012,physics,,877,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2,David J. Wineland
2012,medicine,,874,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2,Sir John B. Gurdon
2012,medicine,,875,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2,Shinya Yamanaka
2011,chemistry,,867,"""for the discovery of quasicrystals""",1,Dan Shechtman
2011,economics,,872,"""for their empirical research on cause and effect in the macroeconomy""",2,Thomas J. Sargent
2011,economics,,873,"""for their empirical research on cause and effect in the macroeconomy""",2,Christopher A. Sims
2011,literature,,868,"""because through his condensed translucent images he gives us fresh access to reality""",1,Tomas Tranströmer
2011,peace,,869,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3,Ellen Johnson Sirleaf
2011,peace,,870,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3,Leymah Gbowee
2011,peace,,871,"""for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work""",3,Tawakkol Karman
2011,physics,,864,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2,Saul Perlmutter
2011,physics,,865,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4,Brian P. Schmidt
2011,physics,,866,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",4,Adam G. Riess
2011,medicine,,861,"""for their discoveries concerning the activation of innate immunity""",4,Bruce A. Beutler
2011,medicine,,862,"""for their discoveries concerning the activation of innate immunity""",4,Jules A. Hoffmann
2011,medicine,,863,"""for his discovery of the dendritic cell and its role in adaptive immunity""",2,Ralph M. Steinman
2010,chemistry,,851,"""for palladium-catalyzed cross couplings in organic synthesis""",3,Richard F. Heck
2010,chemistry,,852,"""for palladium-catalyzed cross couplings in organic synthesis""",3,Ei-ichi Negishi
2010,chemistry,,853,"""for palladium-catalyzed cross couplings in organic synthesis""",3,Akira Suzuki
2010,economics,,856,"""for their analysis of markets with search frictions""",3,Peter A. Diamond
2010,economics,,857,"""for their analysis of markets with search frictions""",3,Dale T. Mortensen
2010,economics,,858,"""for their analysis of markets with search frictions""",3,Christopher A. Pissarides
2010,literature,,854,"""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat""",1,Mario Vargas Llosa
2010,peace,,855,"""for his long and non-violent struggle for fundamental human rights in China""",1,Xiaobo Liu
2010,physics,,849,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2,Andre Geim
2010,physics,,850,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2,Konstantin Novoselov
2010,medicine,,848,"""for the development of in vitro fertilization""",1,Robert G. Edwards
2009,chemistry,,841,"""for studies of the structure and function of the ribosome""",3,Venkatraman Ramakrishnan
2009,chemistry,,842,"""for studies of the structure and function of the ribosome""",3,Thomas A. Steitz
2009,chemistry,,843,"""for studies of the structure and function of the ribosome""",3,Ada E. Yonath
2009,economics,,846,"""for her analysis of economic governance especially the commons""",2,Elinor Ostrom
2009,economics,,847,"""for his analysis of economic governance especially the boundaries of the firm""",2,Oliver E. Williamson
2009,literature,,844,"""who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed""",1,Herta Müller
2009,peace,,845,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",1,Barack Obama
2009,physics,,838,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2,Charles K. Kao
2009,physics,,839,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4,Willard S. Boyle
2009,physics,,840,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",4,George E. Smith
2009,medicine,,835,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,Elizabeth H. Blackburn
2009,medicine,,836,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,Carol W. Greider
2009,medicine,,837,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,Jack W. Szostak
2008,chemistry,,829,"""for the discovery and development of the green fluorescent protein GFP""",3,Osamu Shimomura
2008,chemistry,,830,"""for the discovery and development of the green fluorescent protein GFP""",3,Martin Chalfie
2008,chemistry,,831,"""for the discovery and development of the green fluorescent protein GFP""",3,Roger Y. Tsien
2008,economics,,834,"""for his analysis of trade patterns and location of economic activity""",1,Paul Krugman
2008,literature,,832,"""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization""",1,Jean-Marie Gustave Le Clézio
2008,peace,,833,"""for his important efforts on several continents and over more than three decades to resolve international conflicts""",1,Martti Ahtisaari
2008,physics,,826,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",2,Yoichiro Nambu
2008,physics,,827,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4,Makoto Kobayashi
2008,physics,,828,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",4,Toshihide Maskawa
2008,medicine,,823,"""for his discovery of human papilloma viruses causing cervical cancer""",2,Harald zur Hausen
2008,medicine,,824,"""for their discovery of human immunodeficiency virus""",4,Françoise Barré-Sinoussi
2008,medicine,,825,"""for their discovery of human immunodeficiency virus""",4,Luc Montagnier
2007,chemistry,,816,"""for his studies of chemical processes on solid surfaces""",1,Gerhard Ertl
2007,economics,,820,"""for having laid the foundations of mechanism design theory""",3,Leonid Hurwicz
2007,economics,,821,"""for having laid the foundations of mechanism design theory""",3,Eric S. Maskin
2007,economics,,822,"""for having laid the foundations of mechanism design theory""",3,Roger B. Myerson
2007,literature,,817,"""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny""",1,Doris Lessing
2007,peace,,818,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",2,Intergovernmental Panel on Climate Change 
2007,peace,,819,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",2,Al Gore
2007,physics,,814,"""for the discovery of Giant Magnetoresistance""",2,Albert Fert
2007,physics,,815,"""for the discovery of Giant Magnetoresistance""",2,Peter Grünberg
2007,medicine,,811,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,Mario R. Capecchi
2007,medicine,,812,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,Sir Martin J. Evans
2007,medicine,,813,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,Oliver Smithies
2006,chemistry,,806,"""for his studies of the molecular basis of eukaryotic transcription""",1,Roger D. Kornberg
2006,economics,,807,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",1,Edmund S. Phelps
2006,literature,,808,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",1,Orhan Pamuk
2006,peace,,809,"""for their efforts to create economic and social development from below""",2,Muhammad Yunus
2006,peace,,810,"""for their efforts to create economic and social development from below""",2,Grameen Bank 
2006,physics,,804,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2,John C. Mather
2006,physics,,805,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2,George F. Smoot
2006,medicine,,802,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2,Andrew Z. Fire
2006,medicine,,803,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2,Craig C. Mello
2005,chemistry,,794,"""for the development of the metathesis method in organic synthesis""",3,Yves Chauvin
2005,chemistry,,795,"""for the development of the metathesis method in organic synthesis""",3,Robert H. Grubbs
2005,chemistry,,796,"""for the development of the metathesis method in organic synthesis""",3,Richard R. Schrock
2005,economics,,799,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2,Robert J. Aumann
2005,economics,,800,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2,Thomas C. Schelling
2005,literature,,801,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",1,Harold Pinter
2005,peace,,797,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2,International Atomic Energy Agency 
2005,peace,,798,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2,Mohamed ElBaradei
2005,physics,,791,"""for his contribution to the quantum theory of optical coherence""",2,Roy J. Glauber
2005,physics,,792,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",4,John L. Hall
2005,physics,,793,"""for their contributions to the development of laser-based precision spectroscopy including the optical frequency comb technique""",4,Theodor W. Hänsch
2005,medicine,,789,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2,Barry J. Marshall
2005,medicine,,790,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2,J. Robin Warren
2004,chemistry,,779,"""for the discovery of ubiquitin-mediated protein degradation""",3,Aaron Ciechanover
2004,chemistry,,780,"""for the discovery of ubiquitin-mediated protein degradation""",3,Avram Hershko
2004,chemistry,,781,"""for the discovery of ubiquitin-mediated protein degradation""",3,Irwin Rose
2004,economics,,786,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2,Finn E. Kydland
2004,economics,,787,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2,Edward C. Prescott
2004,literature,,782,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",1,Elfriede Jelinek
2004,peace,,783,"""for her contribution to sustainable development democracy and peace""",1,Wangari Maathai
2004,physics,,776,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,David J. Gross
2004,physics,,777,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,H. David Politzer
2004,physics,,778,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",3,Frank Wilczek
2004,medicine,,774,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2,Richard Axel
2004,medicine,,775,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2,Linda B. Buck
2003,chemistry,"""for discoveries concerning channels in cell membranes""",769,"""for the discovery of water channels""",2,Peter Agre
2003,chemistry,"""for discoveries concerning channels in cell membranes""",770,"""for structural and mechanistic studies of ion channels""",2,Roderick MacKinnon
2003,economics,,771,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",2,Robert F. Engle III
2003,economics,,772,"""for methods of analyzing economic time series with common trends (cointegration)""",2,Clive W.J. Granger
2003,literature,,763,"""who in innumerable guises portrays the surprising involvement of the outsider""",1,J. M. Coetzee
2003,peace,,773,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",1,Shirin Ebadi
2003,physics,,766,"""for pioneering contributions to the theory of superconductors and superfluids""",3,Alexei Abrikosov
2003,physics,,767,"""for pioneering contributions to the theory of superconductors and superfluids""",3,Vitaly L. Ginzburg
2003,physics,,768,"""for pioneering contributions to the theory of superconductors and superfluids""",3,Anthony J. Leggett
2003,medicine,,764,"""for their discoveries concerning magnetic resonance imaging""",2,Paul C. Lauterbur
2003,medicine,,765,"""for their discoveries concerning magnetic resonance imaging""",2,Sir Peter Mansfield
2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",756,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4,John B. Fenn
2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",757,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4,Koichi Tanaka
2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",758,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2,Kurt Wüthrich
2002,economics,,759,"""for having integrated insights from psychological research into economic science especially concerning human judgment and decision-making under uncertainty""",2,Daniel Kahneman
2002,economics,,760,"""for having established laboratory experiments as a tool in empirical economic analysis especially in the study of alternative market mechanisms""",2,Vernon L. Smith
2002,literature,,761,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",1,Imre Kertész
2002,peace,,762,"""for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development""",1,Jimmy Carter
2002,physics,,753,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",4,Raymond Davis Jr.
2002,physics,,754,"""for pioneering contributions to astrophysics in particular for the detection of cosmic neutrinos""",4,Masatoshi Koshiba
2002,physics,,755,"""for pioneering contributions to astrophysics which have led to the discovery of cosmic X-ray sources""",2,Riccardo Giacconi
